Product;Application-Areas;SubDomain;Domain;Company
Lutensol® XP 89; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 99; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Luvipur® FM 75; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Luvipur® FM 85; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Luvipur® FM 99; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Plurafac® LF 120; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Plurafac® LF 224; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Plurafac® LF 305; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Rheovis® AT 120; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® CP 10; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® HP 20; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL PN; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinogard® HS; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Trilon® M Max EcoBalanced; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Dehydol® LT 7; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Dehydol® LT 7/MB; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Dehyton® PK 45; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® TO 8; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 140; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 60; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 40; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 60; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 70; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutropur® MSA; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Plantatex® LLE; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Plurafac® LF 303; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Plurafac® LF 403; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® CP 10 S; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® CP 9; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Texapon® EHS; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinogard® DA; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinogard® TL; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinogard® TT; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Trilon® M Granules SG; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Trilon® M Liquid; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Trilon® M Max BioBased L; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Cibafast® HA Liquid; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Glucopon® 215 UP; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Glucopon® 600 CSUP; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Glucopon® 650 EC; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 100; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 40; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 50; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 70; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 80; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XL 90; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 100; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 30; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 50; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 80; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Lutensol® XP 90; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL Granules; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Texapon® 842 UP; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Texapon® N 70; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Texapon® NSO UP; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinogard® Q; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinogard® TS; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Tinosan® HP 100; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Trilon® M Powder; Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Dehyton® P CAW; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® 215 UP/MB; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® 225 DK/MB (EU); Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Korantin® MAT; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Korantin® PP; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensit® A-EP; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® ON 70; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® ON 80; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Poligen® WE 1; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Poligen® WE 3; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Poligen® WE 4; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Poligen® WE 6; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Polyquart® Ecoclean Max; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehydol® O4 Deo; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Demelan® VPC; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Deriphat® 160 C; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® 100 DK; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® 225 DK; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® 600 CSUP/MB; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® 650 EC/MB; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Glucopon® GD 70; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® FA 12 K; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® M 7; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® M 7/MB (EU); Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® PO 5; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Maranil® DBS/LC; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Plantatex® HCC; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Polyquart® 149 A; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Polyquart® Ecoclean; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Polyquart® PN 60; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Polyquart® Pro A; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® CP 50; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sulfopon® 1218 G; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® BS; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® BX Liquid; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® BX Powder; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehyton® PK 45 LA; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Demelan® AU-39/Bio; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Disponil® LDBS 55; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® TO 7; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Plurafac® LF 221; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Plurafac® LF 901; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL Granules; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL PN Granules; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® B liquid; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® B Powder; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehydol® 100; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehydol® 100/MB; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehydol® 980; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehydol® 980/MB; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehydol® LT 6; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehyton® PL; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Emulan® TO 4070; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® AO 7; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® CS 6250; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Luvipur® FM 75; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Luvipur® FM 85; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Luvipur® FM 99; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Plurafac® LF 900; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® CP 10; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® HP 20; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL PN; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sulfopon® 101 UP; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® M Max EcoBalanced; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Dehyton® PK 45; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® TO 8; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® XP 40; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® XP 70; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutropur® MSA; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Plantatex® LLE; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Sokalan® CP 9; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Texapon® EHS; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® M Granules SG; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® M Liquid; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Trilon® M Max BioBased L; Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Lutensol® AO 11;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® AO 3;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® AT 25 E;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® AT 25 Powder;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® AT 50 Flakes;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® AT 50 Powder;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® ON 30;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® ON 50;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® ON 70;Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® ON 80;Commercial Laundry;I&I;Home care and I&I;BASF
Maranil® DBS/E;Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® HP 50;Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® HP 53;Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® 100;Dishwashing;Homecare;Home care and I&I;BASF
Dehydol® 100/MB;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® 2574;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® 2574/MB;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® E 126;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® E 127;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® GRA;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® KE 3447;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 24;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 24/MB;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 36;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 36/MB;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 45;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 45/MB;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 54;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LS 54/MB;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LT 104;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® LT 104 L;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® WET;Dishwashing;Homecare;Home care and I&I;BASF
Dehyton® KE UP;Dishwashing;Homecare;Home care and I&I;BASF
Dehyton® P CAW;Dishwashing;Homecare;Home care and I&I;BASF
Dehyton® PK 45;Dishwashing;Homecare;Home care and I&I;BASF
Dehyton® PK 45 LA;Dishwashing;Homecare;Home care and I&I;BASF
Dehyton® PL;Dishwashing;Homecare;Home care and I&I;BASF
Emulan® AT 9;Dishwashing;Homecare;Home care and I&I;BASF
Emulan® AT 9/MB;Dishwashing;Homecare;Home care and I&I;BASF
Glucopon® 425 N/HH;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® AT 80 E;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® AT 80 Powder;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® CS 6250;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® TO 7;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XL 60;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XL 79;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XL 89;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XP 40;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XP 60;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XP 69;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XP 89;Dishwashing;Homecare;Home care and I&I;BASF
Lutensol® XP 99;Dishwashing;Homecare;Home care and I&I;BASF
Lutropur® MSA;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 120;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 220;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 221;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 224;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 231;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 300;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 303;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 305;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 400;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 403;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 7319;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 801;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 900;Dishwashing;Homecare;Home care and I&I;BASF
Plurafac® LF 901;Dishwashing;Homecare;Home care and I&I;BASF
Pluriol® E 1500 E;Dishwashing;Homecare;Home care and I&I;BASF
Pluriol® E 1500 Flakes;Dishwashing;Homecare;Home care and I&I;BASF
Pluriol® E 1500 Powder K;Dishwashing;Homecare;Home care and I&I;BASF
Pluriol® E 4000;Dishwashing;Homecare;Home care and I&I;BASF
Pluriol® E 4000 Flakes;Dishwashing;Homecare;Home care and I&I;BASF
Pluriol® E 4000 Powder;Dishwashing;Homecare;Home care and I&I;BASF
Polyquart® 149 A;Dishwashing;Homecare;Home care and I&I;BASF
Polyquart® Ecoclean;Dishwashing;Homecare;Home care and I&I;BASF
Polyquart® Pro A;Dishwashing;Homecare;Home care and I&I;BASF
Polyquart® S Granules;Dishwashing;Homecare;Home care and I&I;BASF
Sokalan® CP 10 S;Dishwashing;Homecare;Home care and I&I;BASF
Sokalan® CP 12 S;Dishwashing;Homecare;Home care and I&I;BASF
Sokalan® CP 13 S;Dishwashing;Homecare;Home care and I&I;BASF
Sokalan® CP 50 Granules;Dishwashing;Homecare;Home care and I&I;BASF
Sokalan® PA 15;Dishwashing;Homecare;Home care and I&I;BASF
Sokalan® PA 25 CL PN;Dishwashing;Homecare;Home care and I&I;BASF
Texapon® EHS;Dishwashing;Homecare;Home care and I&I;BASF
Texapon® N 703;Dishwashing;Homecare;Home care and I&I;BASF
Tinogard® CT;Dishwashing;Homecare;Home care and I&I;BASF
Tinogard® HS;Dishwashing;Homecare;Home care and I&I;BASF
Trilon® M Max Granules;Dishwashing;Homecare;Home care and I&I;BASF
Trilon® M Max Liquid;Dishwashing;Homecare;Home care and I&I;BASF
Trilon® Ultimate 1 G;Dishwashing;Homecare;Home care and I&I;BASF
Trilon® Ultimate 2 G;Dishwashing;Homecare;Home care and I&I;BASF
Dehypon® G 2084;Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehypon® OCP 502z;Food and Beverage Processing;I&I;Home care and I&I;BASF
Korantin® MAT;Food and Beverage Processing;I&I;Home care and I&I;BASF
Korantin® PP;Food and Beverage Processing;I&I;Home care and I&I;BASF
Lorol® Technisch;Food and Beverage Processing;I&I;Home care and I&I;BASF
Lutensit® A-EP;Food and Beverage Processing;I&I;Home care and I&I;BASF
Pluronic® RPE 1740;Food and Beverage Processing;I&I;Home care and I&I;BASF
Sokalan® CP 50;Food and Beverage Processing;I&I;Home care and I&I;BASF
Degressal® SD 20;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® O4 Deo;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Deriphat® 160 C;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 100 DK;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 215 UP/MB;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 225 DK;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 225 DK/MB (EU);Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® GD 70;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® FA 12 K;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
