Product;Application-Areas;SubDomain;Domain;Company
Lutensol® PO 5;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 10;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 109;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 12;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 129;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 2;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 20;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 3;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 389;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 5;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 6;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 89;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 79;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 1300;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 131;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 1430;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 401;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 404;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 431;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 500;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 600;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 711;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 802;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 802/MB;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® SLF 180;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluronic® PE 6100;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluronic® PE 6200;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluronic® PE 6400;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluronic® PE 8100;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluronic® RPE 2520;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluronic® RPE 3110;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Protectol® GA 24;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Protectol® GA 24 AS;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Protectol® GA 50;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Protectol® GA 50 AS;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Protectol® GA 50 non BPR;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Protectol® PE;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Rheovis® CSP;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sokalan® DCS;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Trilon® BS;Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehyton® K;Hard Surface Cleaning;;Home care and I&I;BASF
Demelan® AU-39/Bio;Hard Surface Cleaning;;Home care and I&I;BASF
Demelan® VPC;Hard Surface Cleaning;;Home care and I&I;BASF
Emulan® TO 4070;Hard Surface Cleaning;;Home care and I&I;BASF
Luvipur® FM 75;Hard Surface Cleaning;;Home care and I&I;BASF
Luvipur® FM 85;Hard Surface Cleaning;;Home care and I&I;BASF
Luvipur® FM 99;Hard Surface Cleaning;;Home care and I&I;BASF
Monophenylglycol pure;Hard Surface Cleaning;;Home care and I&I;BASF
Phenoxypropanol;Hard Surface Cleaning;;Home care and I&I;BASF
Poligen® WE 1;Hard Surface Cleaning;;Home care and I&I;BASF
Poligen® WE 3;Hard Surface Cleaning;;Home care and I&I;BASF
Poligen® WE 4;Hard Surface Cleaning;;Home care and I&I;BASF
Poligen® WE 6;Hard Surface Cleaning;;Home care and I&I;BASF
Polyquart® Ecoclean Max;Hard Surface Cleaning;;Home care and I&I;BASF
Polyquart® PN 60;Hard Surface Cleaning;;Home care and I&I;BASF
Protectol® FM 75;Hard Surface Cleaning;;Home care and I&I;BASF
Protectol® FM 85;Hard Surface Cleaning;;Home care and I&I;BASF
Protectol® FM 99;Hard Surface Cleaning;;Home care and I&I;BASF
Protectol® GL;Hard Surface Cleaning;;Home care and I&I;BASF
Protectol® GL non BPR;Hard Surface Cleaning;;Home care and I&I;BASF
Protectol® NP S;Hard Surface Cleaning;;Home care and I&I;BASF
Sokalan® CP 10;Hard Surface Cleaning;;Home care and I&I;BASF
Emulan® EL;Industrial Cleaning;I&I;Home care and I&I;BASF
Disponil® AFX 4030;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Disponil® SUS IC 875;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Korantin® PM;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Pluronic® RPE 1720;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Poligen® Wax V Flakes;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Protectol® BN;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Trilon® BD;Institutional Cleaning and Sanitation;I&I;Home care and I&I;BASF
Cibafast® HA Liquid;Laundry;;Home care and I&I;BASF
Dehydol® 04 Deo;Laundry;;Home care and I&I;BASF
Dehydol® 980;Laundry;;Home care and I&I;BASF
Dehydol® 980/MB;Laundry;;Home care and I&I;BASF
Dehydol® LS 6/MB;Laundry;;Home care and I&I;BASF
Dehydol® LT 6;Laundry;;Home care and I&I;BASF
Dehydol® LT 7;Laundry;;Home care and I&I;BASF
Dehydol® LT 7/MB;Laundry;;Home care and I&I;BASF
Dehypound® GL;Laundry;;Home care and I&I;BASF
Dehypound® LLD 60;Laundry;;Home care and I&I;BASF
Dehypound® SK 7;Laundry;;Home care and I&I;BASF
Demelan® GC 17;Laundry;;Home care and I&I;BASF
Disponil® LDBS 55;Laundry;;Home care and I&I;BASF
Euperlan® HCO;Laundry;;Home care and I&I;BASF
Glucopon® 215 UP;Laundry;;Home care and I&I;BASF
Glucopon® 50 G;Laundry;;Home care and I&I;BASF
Glucopon® 600 CSUP;Laundry;;Home care and I&I;BASF
Glucopon® 600 CSUP/MB;Laundry;;Home care and I&I;BASF
Glucopon® 650 EC;Laundry;;Home care and I&I;BASF
Glucopon® 650 EC/MB;Laundry;;Home care and I&I;BASF
Lavergy® Pro 104 L;Laundry;;Home care and I&I;BASF
Lavergy® Pro 104 LS;Laundry;;Home care and I&I;BASF
Lutensol® A 7 N;Laundry;;Home care and I&I;BASF
Lutensol® A 7 N/MB;Laundry;;Home care and I&I;BASF
Lutensol® AO 5;Laundry;;Home care and I&I;BASF
Lutensol® AO 7;Laundry;;Home care and I&I;BASF
Lutensol® AO 8;Laundry;;Home care and I&I;BASF
Lutensol® AT 25 Flakes;Laundry;;Home care and I&I;BASF
Lutensol® AT 25 Flakes/MB;Laundry;;Home care and I&I;BASF
Lutensol® M 5;Laundry;;Home care and I&I;BASF
Lutensol® M 5/MB;Laundry;;Home care and I&I;BASF
Lutensol® M 7;Laundry;;Home care and I&I;BASF
Lutensol® M 7/MB (EU);Laundry;;Home care and I&I;BASF
Lutensol® TO 8;Laundry;;Home care and I&I;BASF
Lutensol® XL 100;Laundry;;Home care and I&I;BASF
Lutensol® XL 140;Laundry;;Home care and I&I;BASF
Lutensol® XL 40;Laundry;;Home care and I&I;BASF
Lutensol® XL 50;Laundry;;Home care and I&I;BASF
Lutensol® XL 70;Laundry;;Home care and I&I;BASF
Lutensol® XL 80;Laundry;;Home care and I&I;BASF
Lutensol® XL 90;Laundry;;Home care and I&I;BASF
Lutensol® XP 100;Laundry;;Home care and I&I;BASF
Lutensol® XP 30;Laundry;;Home care and I&I;BASF
Lutensol® XP 50;Laundry;;Home care and I&I;BASF
Lutensol® XP 70;Laundry;;Home care and I&I;BASF
Lutensol® XP 80;Laundry;;Home care and I&I;BASF
Lutensol® XP 90;Laundry;;Home care and I&I;BASF
Maranil® DBS/LC;Laundry;;Home care and I&I;BASF
Plantatex® HCC;Laundry;;Home care and I&I;BASF
Plantatex® LLE;Laundry;;Home care and I&I;BASF
Pluriol® E 200;Laundry;;Home care and I&I;BASF
Pluriol® E 600;Laundry;;Home care and I&I;BASF
Pluriol® E 6000 Flakes;Laundry;;Home care and I&I;BASF
Pluriol® E 6000 Powder;Laundry;;Home care and I&I;BASF
Pluriol® P 600;Laundry;;Home care and I&I;BASF
Polyquart® SD 09;Laundry;;Home care and I&I;BASF
Rheovis® AT 120;Laundry;;Home care and I&I;BASF
Rheovis® CDE Pro;Laundry;;Home care and I&I;BASF
Rheovis® FRC;Laundry;;Home care and I&I;BASF
Rheovis® TTA;Laundry;;Home care and I&I;BASF
Sokalan® CP 45 Granules;Laundry;;Home care and I&I;BASF
Sokalan® CP 5;Laundry;;Home care and I&I;BASF
Sokalan® CP 5 Granules;Laundry;;Home care and I&I;BASF
Sokalan® CP 7;Laundry;;Home care and I&I;BASF
Sokalan® CP 7 Granules NL;Laundry;;Home care and I&I;BASF
Sokalan® CP 9;Laundry;;Home care and I&I;BASF
Sokalan® HP 165;Laundry;;Home care and I&I;BASF
Sokalan® HP 20;Laundry;;Home care and I&I;BASF
Sokalan® HP 25;Laundry;;Home care and I&I;BASF
Sokalan® HP 56 A;Laundry;;Home care and I&I;BASF
Sokalan® HP 56 Granules;Laundry;;Home care and I&I;BASF
Sokalan® HP 66 K;Laundry;;Home care and I&I;BASF
Sokalan® HP 96;Laundry;;Home care and I&I;BASF
Sokalan® PA 25 CL Granules;Laundry;;Home care and I&I;BASF
Sokalan® PA 30 CL;Laundry;;Home care and I&I;BASF
Sokalan® PA 30 CL Granules;Laundry;;Home care and I&I;BASF
Sokalan® PA 30 CL PN Granules;Laundry;;Home care and I&I;BASF
Sulfopon® 101 UP;Laundry;;Home care and I&I;BASF
Sulfopon® 1214 G;Laundry;;Home care and I&I;BASF
Sulfopon® 1216 G;Laundry;;Home care and I&I;BASF
Sulfopon® 1218 G;Laundry;;Home care and I&I;BASF
Sulfopon® 8515 G;Laundry;;Home care and I&I;BASF
Texapon® 842 UP;Laundry;;Home care and I&I;BASF
Texapon® K 30 UP;Laundry;;Home care and I&I;BASF
Texapon® LS 30;Laundry;;Home care and I&I;BASF
Texapon® N 70;Laundry;;Home care and I&I;BASF
Texapon® N 701;Laundry;;Home care and I&I;BASF
Texapon® NSO UP;Laundry;;Home care and I&I;BASF
Tinogard® DA;Laundry;;Home care and I&I;BASF
Tinogard® Q;Laundry;;Home care and I&I;BASF
Tinogard® TL;Laundry;;Home care and I&I;BASF
Tinogard® TS;Laundry;;Home care and I&I;BASF
Tinogard® TT;Laundry;;Home care and I&I;BASF
Tinolux® BBS;Laundry;;Home care and I&I;BASF
Tinolux® BMC Liquid;Laundry;;Home care and I&I;BASF
Tinolux® BMC Solid;Laundry;;Home care and I&I;BASF
Tinopal® CBS SP Slurry 33;Laundry;;Home care and I&I;BASF
Tinopal® CBS-CL;Laundry;;Home care and I&I;BASF
Tinopal® CBS-X;Laundry;;Home care and I&I;BASF
Tinopal® DMA-X;Laundry;;Home care and I&I;BASF
Tinopal® DMA-X Conc.;Laundry;;Home care and I&I;BASF
Tinopal® SWN Conc;Laundry;;Home care and I&I;BASF
Tinosan® HP 100;Laundry;;Home care and I&I;BASF
Trilon® B liquid;Laundry;;Home care and I&I;BASF
Trilon® B Powder;Laundry;;Home care and I&I;BASF
Trilon® BX Liquid;Laundry;;Home care and I&I;BASF
Trilon® BX Powder;Laundry;;Home care and I&I;BASF
Trilon® M Granules SG;Laundry;;Home care and I&I;BASF
Trilon® M Liquid;Laundry;;Home care and I&I;BASF
Trilon® M Max BioBased L;Laundry;;Home care and I&I;BASF
Trilon® M Max EcoBalanced;Laundry;;Home care and I&I;BASF
Trilon® M Powder;Laundry;;Home care and I&I;BASF
Dehyquart® CSP;Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Emulan® A;Vehicle and Transportation Care;I&I;Home care and I&I;BASF
Plurafac® LF 223;Dishwashing;Homecare;Home care and I&I;BASF
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
